Informações detalhadas sobre empréstimos de ativos que foram formalmente registrados.  Para todas as modalidades que a B3 publica no Boletim Diário a metodologia da taxa média de cada ativo divulgada no empréstimo é a média ponderada pela quantidade de negócios na data do pregão. Nos dias em que não houver negociação no ativo, a taxa divulgada será a última calculada disponível. Os detalhes sobre as regras utilizadas, bem como a definição de cada um dos campos, estão disponíveis no ;;;;;;;;;;;;;
Glossário;https://www.b3.com.br/data/files/32/02/C0/25/391EA810E9C1AAA8AC094EA8/Glossario%20_%20Emprestimos_Registrados.pdf;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;Taxa doador;;;Taxa tomador;;
Data;Código IF;Código ISIN;Empresa ou fundo;Mercado;Número de contratos;Quantidade de ativos;Valor em R$;Mínima;Média ponderada;Máxima;Mínima;Média ponderada;Máxima
30/06/2026;M1GM34;BRM1GMBDR019;MGM RESORTS INTERNATIONAL;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;CLIN11;BRCLINCTF007;CLAVE ÍNDICES DE PREÇOS FII RESP LIM;Registro;1;39;3586,83;9,95%;9,95%;9,95%;9,95%;9,95%;9,95%
30/06/2026;B1AX34;BRB1AXBDR004;BAXTER INTERNATIONAL INC;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;BOVX11;BRBOVXCTF005;TREND ETF IBOVESPA FUNDO DE ÍNDICE;Registro;20;20201;358567,75;2,47%;2,47%;2,50%;2,47%;2,47%;2,50%
30/06/2026;BITC11;BRBITCCTF013;BTG PACTUAL TEVA BITCOIN FUNDO DE ÍNDICE;Registro;1;119;6048,77;0,15%;0,15%;0,15%;0,15%;0,15%;0,15%
30/06/2026;B1FC34;BRB1FCBDR007;BROWN FORMAN CORP;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;VGRI11;BRVGRICTF008;VALORA RENDA IMOB FUNDO DE INVES IMOB -RESP LIMIT;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;VIGT11;BRVIGTCTF004;VINCI ENERGIA FDO INV PART IE RESP LIM;Registro;;0;0;7,00%;7,00%;7,00%;7,00%;7,00%;7,00%
30/06/2026;EQMA3B;BREQMAACNOR8;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;BFCG39;BRBFCGBDR009;FIRST TRUST NATURAL GAS ETF;Registro;;0;0;7,00%;7,00%;7,00%;7,00%;7,00%;7,00%
